LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,mail.spiral.com,Mar,3,00:09:01,mail,CRON[9585],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
2,mail.spiral.com,Mar,3,00:09:01,mail,CRON[9585],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
3,mail.spiral.com,Mar,3,00:17:01,mail,CRON[9688],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
4,mail.spiral.com,Mar,3,00:17:01,mail,CRON[9688],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
5,mail.spiral.com,Mar,3,00:39:01,mail,CRON[10014],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
6,mail.spiral.com,Mar,3,00:39:01,mail,CRON[10014],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
7,mail.spiral.com,Mar,3,01:09:01,mail,CRON[10291],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
8,mail.spiral.com,Mar,3,01:09:01,mail,CRON[10291],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
9,mail.spiral.com,Mar,3,01:17:01,mail,CRON[10411],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
10,mail.spiral.com,Mar,3,01:17:01,mail,CRON[10411],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
11,mail.spiral.com,Mar,3,01:39:01,mail,CRON[10572],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
12,mail.spiral.com,Mar,3,01:39:01,mail,CRON[10572],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
13,mail.spiral.com,Mar,3,02:09:01,mail,CRON[10829],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
14,mail.spiral.com,Mar,3,02:09:01,mail,CRON[10829],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
15,mail.spiral.com,Mar,3,02:17:01,mail,CRON[10968],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
16,mail.spiral.com,Mar,3,02:17:01,mail,CRON[10968],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
17,mail.spiral.com,Mar,3,02:39:01,mail,CRON[11134],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
18,mail.spiral.com,Mar,3,02:39:01,mail,CRON[11134],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
19,mail.spiral.com,Mar,3,03:09:01,mail,CRON[11317],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
20,mail.spiral.com,Mar,3,03:09:01,mail,CRON[11317],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
21,mail.spiral.com,Mar,3,03:17:01,mail,CRON[11404],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
22,mail.spiral.com,Mar,3,03:17:01,mail,CRON[11404],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
