LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,mail.spiral.com,Mar,3,00:09:17,mail,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
2,mail.spiral.com,Mar,3,00:09:18,mail,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
3,mail.spiral.com,Mar,3,00:21:55,mail,systemd[1],Starting Daily apt download activities...,b37fee6f,Starting Daily apt download activities...,[]
4,mail.spiral.com,Mar,3,00:21:56,mail,systemd[1],Started Daily apt download activities.,43d542ce,Started Daily apt download activities.,[]
5,mail.spiral.com,Mar,3,00:21:56,mail,systemd[1],apt-daily.timer: Adding 11h 19min 15.464837s random time.,8cabb1a7,apt-daily.timer: Adding <*> <*> <*> random time.,"['11h', '19min 15.464837s']"
6,mail.spiral.com,Mar,3,00:21:56,mail,systemd[1],apt-daily.timer: Adding 3h 5min 53.999742s random time.,8cabb1a7,apt-daily.timer: Adding <*> <*> <*> random time.,"['3h', '5min 53.999742s']"
7,mail.spiral.com,Mar,3,00:39:18,mail,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
8,mail.spiral.com,Mar,3,00:39:18,mail,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
9,mail.spiral.com,Mar,3,01:09:17,mail,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
10,mail.spiral.com,Mar,3,01:09:18,mail,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
11,mail.spiral.com,Mar,3,01:39:18,mail,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
12,mail.spiral.com,Mar,3,01:39:18,mail,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
13,mail.spiral.com,Mar,3,02:09:17,mail,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
14,mail.spiral.com,Mar,3,02:09:18,mail,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
15,mail.spiral.com,Mar,3,02:39:17,mail,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
16,mail.spiral.com,Mar,3,02:39:18,mail,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
