LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,mail.insect.com,Mar,4,14:00:45,mail,HORDE,"Guest user is not authorized for Horde (Host: 192.168.10.18). [pid 10825 on line 324 of ""/usr/share/php/Horde/Registry.php""]",77d8337a,"Guest user is not authorized for Horde (Host: <*>). [pid <*> on line <*> of ""/<*>""]","['192.168.10.18', '10825', '324', 'usr/share/php/Horde/Registry.php']"
2,mail.insect.com,Mar,4,14:00:45,mail,HORDE,"Guest user is not authorized for Horde (Host: 192.168.10.18). [pid 10825 on line 324 of ""/usr/share/php/Horde/Registry.php""]",77d8337a,"Guest user is not authorized for Horde (Host: <*>). [pid <*> on line <*> of ""/<*>""]","['192.168.10.18', '10825', '324', 'usr/share/php/Horde/Registry.php']"
3,mail.insect.com,Mar,4,14:00:46,mail,HORDE,"Guest user is not authorized for Horde (Host: 192.168.10.18). [pid 10825 on line 324 of ""/usr/share/php/Horde/Registry.php""]",77d8337a,"Guest user is not authorized for Horde (Host: <*>). [pid <*> on line <*> of ""/<*>""]","['192.168.10.18', '10825', '324', 'usr/share/php/Horde/Registry.php']"
4,mail.insect.com,Mar,4,14:00:46,mail,HORDE,"Guest user is not authorized for Horde (Host: 192.168.10.18). [pid 10825 on line 324 of ""/usr/share/php/Horde/Registry.php""]",77d8337a,"Guest user is not authorized for Horde (Host: <*>). [pid <*> on line <*> of ""/<*>""]","['192.168.10.18', '10825', '324', 'usr/share/php/Horde/Registry.php']"
5,mail.insect.com,Mar,4,14:00:46,mail,HORDE,"Guest user is not authorized for Horde (Host: 192.168.10.18). [pid 10825 on line 324 of ""/usr/share/php/Horde/Registry.php""]",77d8337a,"Guest user is not authorized for Horde (Host: <*>). [pid <*> on line <*> of ""/<*>""]","['192.168.10.18', '10825', '324', 'usr/share/php/Horde/Registry.php']"
6,mail.insect.com,Mar,4,14:00:46,mail,HORDE,"Guest user is not authorized for Horde (Host: 192.168.10.18). [pid 10825 on line 324 of ""/usr/share/php/Horde/Registry.php""]",77d8337a,"Guest user is not authorized for Horde (Host: <*>). [pid <*> on line <*> of ""/<*>""]","['192.168.10.18', '10825', '324', 'usr/share/php/Horde/Registry.php']"
7,mail.insect.com,Mar,4,14:00:46,mail,HORDE,"Guest user is not authorized for Horde (Host: 192.168.10.18). [pid 10825 on line 324 of ""/usr/share/php/Horde/Registry.php""]",77d8337a,"Guest user is not authorized for Horde (Host: <*>). [pid <*> on line <*> of ""/<*>""]","['192.168.10.18', '10825', '324', 'usr/share/php/Horde/Registry.php']"
8,mail.insect.com,Mar,4,14:00:46,mail,HORDE,"Guest user is not authorized for Horde (Host: 192.168.10.18). [pid 10825 on line 324 of ""/usr/share/php/Horde/Registry.php""]",77d8337a,"Guest user is not authorized for Horde (Host: <*>). [pid <*> on line <*> of ""/<*>""]","['192.168.10.18', '10825', '324', 'usr/share/php/Horde/Registry.php']"
9,mail.insect.com,Mar,4,14:00:46,mail,HORDE,"Guest user is not authorized for Horde (Host: 192.168.10.18). [pid 10825 on line 324 of ""/usr/share/php/Horde/Registry.php""]",77d8337a,"Guest user is not authorized for Horde (Host: <*>). [pid <*> on line <*> of ""/<*>""]","['192.168.10.18', '10825', '324', 'usr/share/php/Horde/Registry.php']"
10,mail.insect.com,Mar,4,14:00:46,mail,HORDE,"Guest user is not authorized for Horde (Host: 192.168.10.18). [pid 10825 on line 324 of ""/usr/share/php/Horde/Registry.php""]",77d8337a,"Guest user is not authorized for Horde (Host: <*>). [pid <*> on line <*> of ""/<*>""]","['192.168.10.18', '10825', '324', 'usr/share/php/Horde/Registry.php']"
